Empresa,Cargo,Local,Data publicacao,Tipo de cargo,Remoto/Presencial
YDUQS - Vagas Tech,PESSOA CIENTISTA DE DADOS (ESPECIALISTA),Rio de Jan... - RJ,31/07/2023,Efetivo,Remoto
YDUQS - Vagas Tech,PESSOA ENGENHEIRA DE DADOS (ESPECIALISTA),Rio de Jan... - RJ,31/07/2023,Efetivo,Remoto
alt.bank,Pessoa Cientista de Dados,Sao Paulo - SP,31/07/2023,Pessoa Juridica,Remoto
Globo,Analista de Dados Pleno | Inteligencia de Mercado - Dados & Servicos,Sao Paulo - SP,31/07/2023,Efetivo,Presencial
V4 Company,Analista de Dados Pleno | Time de Dados,Sao Leopoldo - RS,31/07/2023,Pessoa Juridica,Presencial
Leega Consultoria,Engenheiro de Dados Azure Sr. ( Ingles & Espanhol),Sao Paulo - SP,31/07/2023,Efetivo,Remoto
OMNI SAUDE,Analista de Dados & PowerBI,Goiania - GO,31/07/2023,Pessoa Juridica,Presencial
Minsait an Indra Company,Analista de Banco de Dados Senior,Sao Paulo - SP,31/07/2023,Efetivo,Presencial
Nuclea,Analista de Gestao de Dados Sr,Sao Paulo - SP,31/07/2023,Efetivo,Presencial
Webedia Brasil,Analista de Dados Comerciais,Sao Paulo - SP,31/07/2023,Efetivo,Presencial
ITAPEVA Recuperacao de Creditos,Trainee de Banco de Dados,Sao Paulo - SP,31/07/2023,Efetivo,Presencial
Raizen,Analista de Dados Senior | Shell Box - Remoto,Sao Paulo - SP,31/07/2023,Efetivo,Remoto
foodtosave,Analista de Dados Senior (Comercial),Sao Paulo - SP,31/07/2023,Banco de Talentos,Remoto
GLOBAL HITSS,13420-Pessoa Administradora de Banco de Dados,Sao Paulo - SP,29/07/2023,Efetivo,Presencial
Zallpy Digital,Estagio de Analise de dados,Porto Alegre - RS,28/07/2023,Estagio,Remoto
Join Tecnologia & Design,Analista de Dados JR,Brasilia - DF,28/07/2023,Efetivo,Remoto
Vibra Energia,Gerente de Relacionamento com o Cliente - CRM e Dados,Rio de Jan... - RJ,28/07/2023,Efetivo,Presencial
#VempraFTD,Analista de Dados | Analytics,Sao Paulo - SP,28/07/2023,Efetivo,Presencial
NAVA | Technology for Business,PESSOA ENGENHEIRA DE DADOS SR,Sao Paulo - SP,28/07/2023,Efetivo,Presencial
GOL Linhas Aereas,Analista de Dados II,Sao Paulo - SP,28/07/2023,Efetivo,Presencial
Vagas MRM Brasil,Analista de Dados Pleno (AD) FREELANCER,Sao Paulo - SP,27/07/2023,Freelancer,Remoto
Carreiras Alumia,Engenheiro de Dados Jr,Sao Paulo - SP,27/07/2023,Efetivo,Presencial
Energisa TECH,ANL BANCO DADOS I,Cataguases - MG,27/07/2023,Efetivo,Presencial
Porto,Cientista de Dados Sr,Sao Paulo - SP,27/07/2023,Efetivo,Presencial
Banco Bmg,Coordenacao em Ciencia de Dados - IA,Sao Paulo - SP,27/07/2023,Efetivo,Presencial
Central IT,Analista de banco de Dados,Brasilia - DF,27/07/2023,Efetivo,Presencial
Somos BHS ,Pessoa Administradora de Banco de Dados Junior (HomeOffice),Belo Horiz... - MG,27/07/2023,Efetivo,Remoto
Central Ailos,Analista de Gestao de Projetos II - Foco em Dados,Blumenau - SC,27/07/2023,Efetivo,Presencial
V8.TECH,Analista de Banco de Dados Oracle - Senior,Nao informado,27/07/2023,Pessoa Juridica,Presencial
Stefanini Group,Analista de redes e de comunicacao de dados Senior - RJ,Nao informado,27/07/2023,Efetivo,Presencial
Vibra Energia,Cientista de Dados Sr,Rio de Jan... - RJ,27/07/2023,Efetivo,Presencial
Stefanini Group,Administrador de banco de dados Senior -,Nao informado,27/07/2023,Efetivo,Presencial
Stefanini Group,Administrador de Banco de Dados Pleno,Nao informado,27/07/2023,Efetivo,Presencial
Seja Globalweb,ANALISTA DE BANCO DE DADOS SR,Brasilia - DF,27/07/2023,Pessoa Juridica,Presencial
Seja Globalweb,SUPORTE EM ANALISE DE BANCO DE DADOS DE CAPACIDADE,Fortaleza - CE,27/07/2023,Efetivo,Presencial
Localiza&Co,ESPECIALISTA EM ENGENHARIA DE DADOS I,Belo Horiz... - MG,27/07/2023,Efetivo,Remoto
Localiza&Co,ENGENHEIRO DE DADOS III,Belo Horiz... - MG,27/07/2023,Efetivo,Remoto
DB,Dev Node.js Pl - Segmento de Inteligencia de Dados,Sao Paulo - SP,26/07/2023,Efetivo,Remoto
MTP Metodos e Tecnologia - Brasil,534 - Trainee Inovacao & Dados,Sao Paulo - SP,26/07/2023,Efetivo,Presencial
Stefanini Group,Engenheiro de Dados Pl,Nao informado,26/07/2023,Efetivo,Remoto
Strada,Gerente de Dados e Novos Negocios,Sao Paulo - SP,26/07/2023,Efetivo,Presencial
MESHA TECNOLOGIA,Analista de Dados,Maceio - AL,26/07/2023,Efetivo,Remoto
Leega Consultoria,Engenheiro de Dados GCP Senior (Big Query / DataFlow),Barueri - SP,26/07/2023,Pessoa Juridica,Remoto
VR,ESPECIALISTA EM CIENCIA DE DADOS,Sao Paulo - SP,25/07/2023,Efetivo,Presencial
Talentos Hapvida,Oportunidade Interna - Analista de Dados Junior - Auditoria Interna,Fortaleza - CE,25/07/2023,Efetivo,Presencial
Vitru Education,"Professor-Autor - Ciencia de Dados, Inteligencia Artificial e Novas Tecnologias",Florianopolis - SC,25/07/2023,Autonomo,Remoto
Neos,Analista de BI/Dados Pleno,Sao Paulo - SP,25/07/2023,Pessoa Juridica,Remoto
Hapvida NotreDame Intermedica,Analista de Dados Junior - Auditoria Interna,Fortaleza - CE,25/07/2023,Efetivo,Presencial
NC Tech,Banco de Talentos - Especialista em Dados,Hortolandia - SP,25/07/2023,Banco de Talentos,Presencial
V.tal | o futuro passa por aqui,Analista de Dados (Performance Operacional) - Porto Alegre/RS,Nao informado,25/07/2023,Efetivo,Presencial
Hospital Sao Lucas da PUCRS,CIENTISTA DE DADOS SENIOR,Porto Alegre - RS,25/07/2023,Efetivo,Presencial
SLC Agricola,Analista de Suprimentos (Inteligencia de dados),Porto Alegre - RS,25/07/2023,Efetivo,Presencial
PreparaRH,Analista de Dados Junior,Aracatuba - SP,25/07/2023,Efetivo,Presencial
Afya,AFYA BH | Analista de Dados Educacionais Senior,Belo Horiz... - MG,25/07/2023,Efetivo,Presencial
GAV Resorts,Estagio em Ciencias de Dados,Goiania - GO,24/07/2023,Efetivo,Presencial
Unicred Central RJ/MT,Estagiario em Analise de Dados,Rio de Jan... - RJ,24/07/2023,Estagio,Presencial
Minsait an Indra Company,Pessoa Engenheira de Dados Senior,Goiania - GO,24/07/2023,Efetivo,Presencial
JDC Tech,Engenheiro de Dados Pleno,Nao informado,24/07/2023,Efetivo,Remoto
Empresa de Tecnologia,Engenheiro de Dados,Sao Paulo - SP,21/07/2023,Efetivo,Remoto
Atento TI,Analista de Dados Pleno - Sao Paulo - Hibrido,Nao informado,21/07/2023,Efetivo,Presencial
Vagas MRM Brasil,Diretora de Estrategia e Dados - Foco CRM,Sao Paulo - SP,21/07/2023,Efetivo,Presencial
Claro,Cientista De Dados Junior,Sao Paulo - SP,21/07/2023,Efetivo,Presencial
GAVB,Pessoa Engenheira de dados III,Nao informado,21/07/2023,Efetivo,Remoto
Cidade Center Norte,"Advogado(a) Senior (Compliance, Integridade e Privacidade de Dados)",Sao Paulo - SP,21/07/2023,Efetivo,Presencial
GRUPO LUIZ HOHL / CASA DO PICA PAU,Analista de Dados,Goiania - GO,21/07/2023,Efetivo,Remoto
Bip Brasil,Pessoa Engenheira de Dados Senior - Servicos Financeiros,Sao Paulo - SP,21/07/2023,Efetivo,Remoto
Locaweb,Analista de Dados Jr - modelo de trabalho hibrido (vaga exclusiva para PCD),Sao Paulo - SP,20/07/2023,Efetivo,Presencial
Midea Carrier,Arquiteto de Dados | Sao Paulo,Sao Paulo - SP,20/07/2023,Efetivo,Presencial
Farmacias APP,Analista de Dados SR,Nao informado,20/07/2023,Efetivo,Remoto
DUX Nutrition Lab,Analista de Dados Pleno,Sao Paulo - SP,20/07/2023,Efetivo,Presencial
Cielo,Engenheiro de Dados,Barueri - SP,20/07/2023,Efetivo,Remoto
DUX Nutrition Lab,Analista de Dados Senior,Sao Paulo - SP,20/07/2023,Efetivo,Presencial
Leve Saude,Cientista de Dados,Rio de Jan... - RJ,20/07/2023,Efetivo,Remoto
GAV Resorts,Analista de Engenharia de Dados Pleno,Goiania  - GO,20/07/2023,Efetivo,Presencial
MAGNA SISTEMAS,5180343 | Analista de Dados PL,Sao Paulo - SP,20/07/2023,Efetivo,Presencial
Quality Digital,5176118 - ENGENHEIRO DE DADOS AWS,Rio de Jan... - RJ,20/07/2023,Efetivo,Remoto
Cacau Show,Analista de Banco de Dados Senior,Itapevi - SP,20/07/2023,Efetivo,Remoto
Cacau Show,Analista de Banco de Dados Pleno,Itapevi - SP,20/07/2023,Efetivo,Remoto
Confidencial,Analista de Dados (Senior),Nao informado,20/07/2023,Efetivo,Remoto
Musa Tecnologia,Pessoa Analista de Dados Pleno,Sao Paulo - SP,20/07/2023,Efetivo,Presencial
Pmweb,Analista de Banco de dados,Porto Alegre - RS,20/07/2023,Efetivo,Remoto
Getrak.com,Head de Dados,Belo Horiz... - MG,20/07/2023,Efetivo,Remoto
Corporativo - Agibank,ANALISTA DE PRIVACIDADE DE DADOS PLENO (HIBRIDO CAMPINAS/SP),Campinas - SP,19/07/2023,Efetivo,Presencial
GLOBAL HITSS,10109-Cientista de Dados,Brasilia - DF,19/07/2023,Efetivo,Remoto
GLOBAL HITSS,12852-Pessoa Administradora de Banco de Dados,Brasilia - DF,19/07/2023,Efetivo,Presencial
Grupo Petlove,Estagio em Eng de Dados (Vaga afirmativa para mulheres),Sao Paulo - SP,19/07/2023,Estagio,Remoto
Faca parte do time Mercantil,Analista de Dados Cliente Junior,Belo Horiz... - MG,18/07/2023,Efetivo,Presencial
Stefanini Group,ADMINISTRADOR BANCO DADOS PL,Sao Paulo - SP,18/07/2023,Efetivo,Presencial
Daiichi Sankyo Brasil Farmaceutica,Especialista em Engenharia de Dados,Sao Paulo - SP,18/07/2023,Efetivo,Presencial
Unidades V4 Company,Analista de BI | Dados | V4 + Verderosi&CO,Sao Carlos - SP,18/07/2023,Pessoa Juridica,Presencial
Monte Carlo Joias,Estagiario de Analise de Dados,Rio de Jan... - RJ,18/07/2023,Estagio,Presencial
GRUPO COMETA,AGENTE DE ANALISE DE DADOS/ EC,Caceres - MT,18/07/2023,Efetivo,Remoto
Supernova,Analista de Dados,Goiania - GO,18/07/2023,Efetivo,Presencial
GLOBAL HITSS,12851-Pessoa Administradora de Dados,Brasilia - DF,18/07/2023,Efetivo,Presencial
Talentos Hapvida,Oportunidade Interna - Analista de Dados Pl,Fortaleza - CE,18/07/2023,Banco de Talentos,Presencial
Hapvida NotreDame Intermedica,Analista de Dados Pl,Fortaleza - CE,18/07/2023,Banco de Talentos,Presencial
PagBank,Analista de Cientista de Dados Sr.,Sao Paulo - SP,18/07/2023,Efetivo,Presencial
CVC Corp,PESSOA COORDENADORA DE DADOS,Santo Andre - SP,17/07/2023,Efetivo,Presencial
Recrutamento para area de tecnologia com Fit Cultural e Aderencia Tecnica.,Gerente de Dados,Sao Paulo - SP,17/07/2023,Efetivo,Remoto
Visagio,Visagio Talentos - Estagio: Tecnologia | Automacao e Dados Recife,Recife - PE,17/07/2023,Estagio,Presencial
Visagio,Visagio Talentos - Estagio: Tecnologia | Automacao e Dados Fortaleza,Fortaleza - CE,17/07/2023,Estagio,Presencial
Visagio,Visagio Talentos - Estagio: Tecnologia | Automacao e Dados SP,Sao Paulo - SP,17/07/2023,Estagio,Presencial
The Bridge Vagas,Analista de Dados SR - Hibrido (Sao Paulo/SP),Sao Paulo - SP,17/07/2023,Efetivo,Presencial
Visagio,Visagio Talentos - Estagio: Tecnologia | Automacao e Dados RJ,Rio de Jan... - RJ,17/07/2023,Estagio,Presencial
GLOBAL HITSS,12853-Pessoa Administradora de Banco de Dados,Brasilia - DF,17/07/2023,Efetivo,Presencial
Olist,Analista de Negocios e Dados Pleno,Sao Paulo - SP,17/07/2023,Efetivo,Presencial
GLOBAL HITSS,13264-Pessoa Administradora de Banco de Dados,Brasilia - DF,17/07/2023,Efetivo,Presencial
GLOBAL HITSS,13268-Pessoa Administradora de Banco de Dados,Brasilia - DF,17/07/2023,Efetivo,Presencial
CantuStore,Engenheiro de Dados PL,Itajai - SC,17/07/2023,Efetivo,Presencial
Vem ser Tahto,ANALISTA SENIOR DE DADOS E INDICADORES DA QUALIDADE - GOIANIA/GO | STAFF,Goiania - GO,14/07/2023,Efetivo,Presencial
GnTech,Analista de Dados,Florianopolis - SC,14/07/2023,Efetivo,Presencial
Afya,PEBMED | Analista de Dados Junior (Vaga Exclusiva para Profissionais com Deficiencia),Rio de Jan... - RJ,14/07/2023,Efetivo,Remoto
Oportunidades T-Systems,ANALISTA BANCO DE DADOS - ORACLE,Sao Bernar... - SP,14/07/2023,Efetivo,Remoto
Wake,Especialista em Banco de Dados (DBA) - Modelo de Trabalho Hibrido,Nao informado,14/07/2023,Efetivo,Presencial
wemobi,Estagio em Gerenciamento de Dados Comerciais,Barueri - SP,14/07/2023,Estagio,Presencial
Ambipar Response ES S/A,AMBIPAR RESPONSE CONTROL - Analista de Dados - Homeoffice,Vitoria - ES,14/07/2023,Efetivo,Remoto
Stormx,Pessoa Engenheira de Dados,Sao Paulo - SP,14/07/2023,Pessoa Juridica,Remoto
Cielo,Analista Senior em Governanca de Dados,Barueri - SP,14/07/2023,Efetivo,Remoto
GLOBAL HITSS,13259-Pessoa Administradora de Dados,Brasilia - DF,13/07/2023,Efetivo,Presencial
GLOBAL HITSS,13260-Pessoa Administradora de Dados,Brasilia - DF,13/07/2023,Efetivo,Presencial
Grupo Nos,Analista de Dados Pleno,Sao Paulo - SP,13/07/2023,Efetivo,Presencial
Raizen,Cientista de Dados- Combustiveis,Sao Paulo - SP,13/07/2023,Efetivo,Presencial
Addebirare,Analista de Dados | Planejamento Comercial,Sao Paulo - SP,13/07/2023,Efetivo,Presencial
Datum TI,Pessoa Analista de Seguranca e Privacidade de Dados Junior,Sao Paulo - SP,12/07/2023,Efetivo,Remoto
Barcelos,AUXILIAR DE PROCESSAMENTO E DADOS,Sao Joao d... - RJ,12/07/2023,Efetivo,Presencial
Join Tecnologia & Design,Analista de Dados (Python),Brasilia - DF,12/07/2023,Efetivo,Remoto
Zallpy Digital,Analista de Dados/BI JUNIOR - Hibrido (POA ou RJ),Porto Alegre - RS,12/07/2023,Efetivo,Presencial
Leega Consultoria,Engenheiro de Dados GCP - Senior,Sao Paulo - SP,12/07/2023,Efetivo,Remoto
Seja Every seguranca da informacao cybersecurity Every #SerFeliz LGPD GRC gerenciamento de risco inovacao Every TI VempraEvery Vem pra Every,Analista Junior de Privacidade de Dados,Brasilia - DF,12/07/2023,Efetivo,Presencial
Grupo Boticario,Especialista de Dados I (Trade Marketing) - Vaga Afirmativa para Pessoas Negras (pretas e pardas),Sao Jose d... - PR,11/07/2023,Efetivo,Presencial
GT Group,Estagio em Analise de Dados,Florianopolis - SC,11/07/2023,Estagio,Remoto
Stefanini Group,ADMINISTRADOR BANCO DADOS PL,Brasafalia - DF,11/07/2023,Efetivo,Presencial
Bip Brasil,Pessoa Especialista em Ciencia de Dados,Sao Paulo - SP,11/07/2023,Efetivo,Remoto
Bip Brasil,Pessoa Cientista de Dados Senior - Validacao de Modelos,Sao Paulo - SP,11/07/2023,Efetivo,Remoto
Trabalhe na Mills,Especialista de Dados,Sao Paulo - SP,11/07/2023,Efetivo,Presencial
Grendene,Analista de Dados I,Farroupilha - RS,11/07/2023,Efetivo,Remoto
Pif Paf Alimentos Estagio,Estagiario(a) de Dados,Belo Horiz... - MG,11/07/2023,Estagio,Presencial
IPNET Growth Partner,Engenheiro de Dados Senior,Rio de Jan... - RJ,10/07/2023,Efetivo,Presencial
NAVA | Technology for Business,Pessoa Engenheira de Dados  (Scala),Sao Paulo - SP,10/07/2023,Efetivo,Presencial
Barcelos,Assistente de Inteligencia de dados,Campos dos... - RJ,10/07/2023,Efetivo,Presencial
Riachuelo,Analista Dados | Vaga afirmativa para Pessoas com Deficiencia,Sao Paulo - SP,10/07/2023,Efetivo,Remoto
Foresea,Analista de Dados I | Data Analyst I,Macae - RJ,10/07/2023,Efetivo,Remoto
Getnet Brasil,Pessoa Arquiteta de Dados,Sao Paulo - SP,07/07/2023,Efetivo,Presencial
Getnet Brasil,Pessoa Engenheira de Dados PL,Sao Paulo - SP,07/07/2023,Efetivo,Presencial
Globo,Analista de Banco de Dados | DBDevOps,Rio de Jan... - RJ,07/07/2023,Efetivo,Remoto
Ajinomoto do Brasil,Analista de Dados & Inteligencia comercial,Sao Paulo - SP,07/07/2023,Efetivo,Presencial
VIACERTA Banking,Cientista de Dados Senior,Santo Cristo - RS,07/07/2023,Efetivo,Remoto
Barcelos,OPERADOR DE PROCESSAMENTOS DE DADOS - CAMPOS DOS GOYTACAZES/RJ,Campos dos... - RJ,06/07/2023,Efetivo,Presencial
Tech Sicredi,Cientista de Dados - Foco em Credito,Porto Alegre - RS,06/07/2023,Efetivo,Remoto
Tech Sicredi,Engenheiro de Dados - Foco em Credito,Porto Alegre - RS,06/07/2023,Efetivo,Remoto
GLOBAL HITSS,11619-Analista de Dados (BI),Campinas - SP,06/07/2023,Efetivo,Presencial
Ambev Tech,Engenharia de Dados - Financeiro (Anaplan),Nao informado,06/07/2023,Efetivo,Presencial
GOVERNANCABRASIL - GOVBR,Analista de Dados Jr,Blumenau - SC,06/07/2023,Efetivo,Remoto
ORIZON VR,Analista de Dados,Sao Paulo - SP,06/07/2023,Efetivo,Presencial
Algar Telecom,Pessoa Analista de Seguranca da Informacao II (Aplicacoes e Dados),Uberlandia - MG,06/07/2023,Associado,Remoto
JBS,Analista de BI/Dados - Senior/Especialista,Sao Paulo - SP,06/07/2023,Efetivo,Presencial
Unicred Central Conexao,Cientista de Dados | Florianopolis,Florianopolis - SC,06/07/2023,Efetivo,Presencial
Porto,Cientista de Dados Junior - Pesquisa Operacional,Sao Paulo - SP,05/07/2023,Efetivo,Presencial
Energisa TECH,ENGENHEIRO DADOS I,Rio de Jan... - RJ,05/07/2023,Efetivo,Presencial
Claranet Brasil,Administrador (a) de Banco de Dados Oracle Sr.,Barueri - SP,05/07/2023,Efetivo,Presencial
J&T Express Brasil,Analista de dados,Florianopolis - SC,05/07/2023,Efetivo,Presencial
A3Data,Pessoa Cientista de Dados Senior (Hibrido RMBH),Belo Horiz... - MG,04/07/2023,Efetivo,Remoto
GLOBAL HITSS,13379-Cientista de Dados,Brasilia - DF,04/07/2023,Efetivo,Remoto
Seg Imob Seguros Imobiliarios,Administrador de Banco de Dados,Uberlandia - MG,04/07/2023,Pessoa Juridica,Presencial
Stefanini Group,ADMINISTRADOR BANCO DADOS SR,Rio de Jan... - RJ,04/07/2023,Efetivo,Presencial
GLOBAL HITSS,12455-Cientista de Dados,Sao Paulo - SP,04/07/2023,Efetivo,Presencial
HS FINANCEIRA S/A - CFI,Analista de Dados JR - HS Financeira,Dois Irmaos - RS,04/07/2023,Efetivo,Presencial
Vem ser Tahto,ESPECIALISTA EM ENGENHARIA DE DADOS - GOIANIA/GO | STAFF,Goiania - GO,04/07/2023,Efetivo,Remoto
Unidades V4 Company,Analista de Dados - RPZ & Co (Presencial),Sao Jose d... - SP,03/07/2023,Pessoa Juridica,Presencial
Stefanini Group,Administrador de Dados,Nao informado,03/07/2023,Efetivo,Remoto
Minsait an Indra Company,Engenheiro de Dados Senior,Goiania - GO,03/07/2023,Efetivo,Presencial
Nuclea,Assistente de Analise de Dados - Vaga PCD,Sao Paulo - SP,30/06/2023,Efetivo,Presencial
Contabilizei,Analista de Dados Pleno,Nao informado,30/06/2023,Efetivo,Remoto
Porto,Analista de Inteligencia de Dados Pleno,Sao Paulo - SP,30/06/2023,Efetivo,Presencial
Cogna Educacao,ENGENHEIRO DADOS,Sao Paulo - SP,29/06/2023,Efetivo,Presencial
Saber Educacao,ANALISTA DE DADOS III,Sao Paulo - SP,29/06/2023,Efetivo,Presencial
Nuclea,Assistente Cientista de Dados - Vaga PCD,Sao Paulo - SP,29/06/2023,Efetivo,Presencial
NAVA | Technology for Business,PESSOA ENGENHEIRA DE DADOS SR - Riscos/Inteligencia,Sao Paulo - SP,28/06/2023,Efetivo,Presencial
Cielo,Analista de Dados Sr,Barueri - SP,28/06/2023,Efetivo,Remoto
REDE CACIQUE,FRENTISTA  - Baixa Grande do Ribeiro/PI (BANCO DE DADOS),Baixa Gran... - PI,28/06/2023,Banco de Talentos,Presencial
Samsung SDS Latin America,Cientista de Dados,Sao Paulo - SP,27/06/2023,Efetivo,Presencial
Seja Every seguranca da informacao cybersecurity Every #SerFeliz LGPD GRC gerenciamento de risco inovacao Every TI VempraEvery Vem pra Every,Analista Senior de Privacidade de Dados,Brasilia - DF,27/06/2023,Efetivo,Presencial
Seja Every seguranca da informacao cybersecurity Every #SerFeliz LGPD GRC gerenciamento de risco inovacao Every TI VempraEvery Vem pra Every,Analista Pleno de Privacidade de Dados,Brasilia - DF,27/06/2023,Efetivo,Presencial
Instituto de Pesquisas ELDORADO,Estagio para Analista de Dados,Manaus - AM,26/06/2023,Efetivo,Presencial
CONEXA,Cientista de Dados Senior,Rio de Jan... - RJ,26/06/2023,Efetivo,Remoto
Benner,Analista de Banco de Dados PL,Maringa - PR,26/06/2023,Efetivo,Remoto
Brasilprev,BANCO DE TALENTOS - Tecnologia e Dados,Sao Paulo - SP,26/06/2023,Banco de Talentos,Presencial
Agrofel Graos e Insumos,Banco de dados | Gerente de Unidade,Nao informado,24/06/2023,Efetivo,Presencial
Agrofel Graos e Insumos,Banco de Dados | Assistente Administrativo e Estoque,Nao informado,24/06/2023,Efetivo,Presencial
Agrofel Graos e Insumos,Banco de Dados | Consultor Comercial,Nao informado,24/06/2023,Efetivo,Presencial
Faca parte do time Mercantil,Analista de Dados de Controladoria Pleno,Belo Horiz... - MG,23/06/2023,Efetivo,Remoto
B. Braun Group,Especialista de Inteligencia de Dados,Rio de Jan... - RJ,23/06/2023,Efetivo,Presencial
